Job,Company,Address,Deadline,URL
Senior JavaScript Developer (Preferred Angular),Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal",4/12/2019,www.merojob.com/front-end-javascript-developer-2
Digital Marketer,JD Internet ventures,Kathmandu,4/8/2019,www.merojob.com/digital-marketer-2
Software Engineer - Angular,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",4/13/2019,www.merojob.com/software-engineer-73
Software Engineer - Ruby on Rails,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",4/12/2019,www.merojob.com/software-engineer-74
Visual Basic Programmer,IT Nepal,"Kathmandu, Nepal",4/15/2019,www.merojob.com/visual-basic-programmer-2
Small - Scale Infrastructure Expert(Engineer),KECC,"Sunwal, Nawalparasi",4/25/2019,www.merojob.com/small-scale-infrastructure-expertengineer
Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal",4/8/2019,www.merojob.com/senior-test-automation-engineer-2
Civil Engineer,RM Group,Rasuwa,4/14/2019,www.merojob.com/civil-engineer-354
Civil Engineer / Interior Designer,Hilltake Resort,"Sanga, Bhaktapur",4/12/2019,www.merojob.com/civil-eng-interior-designer
Mechanical Overseer,Hulas Autocraft,Kathmandu,4/13/2019,www.merojob.com/mechanical-overseer-23
Counselor,Maple International Education,"Putalisadak, Kathmandu",4/10/2019,www.merojob.com/counselor-281
Secondary Level Teachers,Nightingale International Secondary School,"Kathmandu, Nepal",4/8/2019,www.merojob.com/secondary-level-teachers-30
Preschool Teacher (Female),Ujjwal Tara School,"Pepsicola, Kathmandu, Nepal",4/6/2019,www.merojob.com/preschool-teacher-female-6
Primary Level Teachers,Nightingale International Secondary School,Chitwan,4/10/2019,www.merojob.com/primary-level-teachers-29
Counselor,Raffles Educare Associates,"Putalisadak, Kathmandu",4/12/2019,www.merojob.com/counselor-female-18
Marketing Officer,JD Internet ventures,Kathmandu,4/8/2019,www.merojob.com/marketing-officer-820
Digital Marketer,JD Internet ventures,Kathmandu,4/8/2019,www.merojob.com/digital-marketer-2
Social Media Manager,Freelancer Company,"2nd Floor, House No. 384,, Buth Marg, Dhungedhara Chowk,,...",4/13/2019,www.merojob.com/social-media-manager-17
Marketing Representative,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/marketing-representative-207
Chartered Accountant,Shikhar Organization Limited,"Kathmandu, Nepal",4/8/2019,www.merojob.com/chartered-accountant-41
Jr. Accountant,Felt and Yarn,"Khusibun, Kathmandu, Central Development Region, Nepal",4/12/2019,www.merojob.com/jr-accountant-11
Accountant,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/accountant-1345
Executive – Accounts,Flash Freight Logistics,"Based in HQ, Pulchowk Lalitpur",4/6/2019,www.merojob.com/sr-executive-accounts-3
Sr. Executive – Accounts,Flash Freight Logistics,"Based in HQ, Pulchowk Lalitpur",4/6/2019,www.merojob.com/sr-executive-accounts-4
Sales Engineer (Male),The Real PBX,"Kathmandu, Nepal",4/14/2019,www.merojob.com/sales-engineer-38
Sales Executive,Classic Outdoors,Kathmandu,4/11/2019,www.merojob.com/sales-executive-453
Sales Executive,Hilltake Industries,Nepalgunj,4/10/2019,www.merojob.com/sales-executive-454
Communications & Administration Officer,Action For Nepal,Birgunj,4/6/2019,www.merojob.com/communications-administration-officer
Sales Assistant,Asian Paints (Nepal),Butwal,4/7/2019,www.merojob.com/sales-assistant-49
PHP Developer,KTM CTY,Kathmandu,4/9/2019,www.merojob.com/php-developer-225
"Team Lead (Java, Python, Javascript, NodeJs)",GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",4/9/2019,www.merojob.com/team-lead-java-python-javascript-nodejs
Senior Full-stack Software Engineer,GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",4/9/2019,www.merojob.com/senior-full-stack-software-engineer-3
Senior Web & Mobile Developer (Front-end and Back-end),GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",4/9/2019,www.merojob.com/senior-web-mobile-developer-front-end-and-back-end
DevOps Engineer (System Team),COTIVITI NEPAL,"Kathmandu,Nepal",4/12/2019,www.merojob.com/devops-engineer-system-team-3
Staff Nurse,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/staff-nurse-107
Radiographer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/radiographer-18
Medical Report Writer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/medical-report-writer-2
Manager,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/manager-235
Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,4/13/2019,www.merojob.com/assistant-anesthesia
Director - Finance,Nepal CRS Company,"Head Office, Tokha- Kathmandu",4/7/2019,www.merojob.com/director-finance-2
Commercial Sales Director,Marie Stopes Products and Trading,based in Kathmandu with significant field travel,4/7/2019,www.merojob.com/commercial-sales-director-2
Sr. MEL Officer,Humanity & Inclusion (HI),Country Office with field visits,4/7/2019,www.merojob.com/sr-mel-officer
Demand Generation Coordinator,Sunaulo Parivar Nepal (SPN),Dumre,4/15/2019,www.merojob.com/demand-generation-coordinator-5
Advocacy Officer,National Federation of the Deaf Nepal (NDFN),"Kathmandu, Nepal with frequent travel in the project  dis...",4/7/2019,www.merojob.com/advocacy-officer-7
Administrator,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/administrator-29
Intern,Classic Outdoors,Kathmandu,4/11/2019,www.merojob.com/intern-42
Store Manager/ Cashier,Pioneer Trade Concern,"Kathmandu, Nepal",4/14/2019,www.merojob.com/store-manager-cashier-2
Operations Assistant,Javra Software,"Kathmandu, Nepal",4/16/2019,www.merojob.com/operations-assistant-11
"Specialist- Operations, Internal Audit",Ncell,"Kathmandu, Nepal",4/9/2019,www.merojob.com/specialist-operations
Operation Manager,Times Remit,Kathmandu,4/8/2019,www.merojob.com/operation-manager-82
Trainee Assistant,Siddhartha Bank,Inside and Outside Valley,4/15/2019,www.merojob.com/trainee-assistant-43
Officer – Bancassurance Sales,KFA,Kathmandu,4/10/2019,www.merojob.com/officer-bancassurance-sales-4
Marketing Representative,Bajrayogini Saving and Credit Cooperative,"New Road, Samakhusi",4/12/2019,www.merojob.com/marketing-representative-209
Virtual Administrator for Loan Processing,Out Solu Nepal,"Okubahal, Lalitpur",4/11/2019,www.merojob.com/virtual-administrator-for-loan-processing-2
Food & Beverage Manager,"AVID, Your Partner in Growth","Sanepa, lalitpur",4/11/2019,www.merojob.com/food-beverage-project-manager-2
Housekeeping,Captain Egg,"Hadigau, Naxal",4/17/2019,www.merojob.com/housekeeping-14
Head Chef and Culinary Instructor,ROKPA Guest House,Pokhara Nepal,4/10/2019,www.merojob.com/head-chef-and-culinary-instructor
Assistant Manager,The Nana Hotels,Pokara/,4/7/2019,www.merojob.com/pic
Waiter / Waitress,Captain Egg,Hadigau,4/12/2019,www.merojob.com/waiter-waitress-22
Senior Financial Content Writer,IMS Investment Management Services,Kathmandu,4/10/2019,www.merojob.com/senior-financial-content-writer-4
Content Writer/Copywriter,ANSSoft Incorporation,"Kathmandu, Nepal",4/7/2019,www.merojob.com/content-writercopywriter-2
Content Writer,Hopnepal.com,"Maitidevi, Kathmandu",4/6/2019,www.merojob.com/writer-3
Content Writers / Data Analyst (Evening Shift),Datalytics,"Bhatbhateni, Naxal",4/7/2019,www.merojob.com/content-writers-data-analyst
Operation Assistant,Nepal Broadcasting Channel,Kathmandu,4/19/2019,www.merojob.com/operation-assistant-5
Receptionist/Cashier,Tesla Diagnostic Clinic,"Kathmandu, Nepal",4/8/2019,www.merojob.com/receptionistcashier-5
Receptionist,ZTE Corporation,"Kathmandu, Nepal",4/6/2019,www.merojob.com/receptionist-1096
Receptionist (Female Only),Abroad Consultant Nepal,"Putalisadak, Kathmandu",4/17/2019,www.merojob.com/office-secretary-female-only-10
Receptionist (Female),Raffles Educare Associates,"Putalisadak, Kathmandu, Nepal",4/12/2019,www.merojob.com/receptionist-female-149
Front Desk cum Document Officer,Kohinoor Investment and Securities,"Hattisar, Kathmandu",4/10/2019,www.merojob.com/front-desk-cum-document-officer
Production Associate,Asian Paints (Nepal),Hetauda,4/7/2019,www.merojob.com/production-associate
Site Monitor,Sky Light,"Tripureshwor, Kathmandu",4/12/2019,www.merojob.com/site-monitor
Graphic Designer,JD Internet ventures,Kathmandu,4/8/2019,www.merojob.com/graphic-designer-600
Graphic Designer,KTM CTY,Kathmandu,4/9/2019,www.merojob.com/graphic-designer-601
InDesign Artist,Makarios,"Naxal, Kathmandu",4/8/2019,www.merojob.com/indesign-artist-3
Graphic Designer,Kreativ Nepa,"Babarmahal, Near Rosebud School",4/6/2019,www.merojob.com/graphic-designer-603
Graphic & Web Designer,Fusemachines Nepal,"Kamaladi, Kathamandu",4/18/2019,www.merojob.com/graphic-web-designer-6
Store Head (GM),Jagdamba Steels,"Simara, Bara",4/13/2019,www.merojob.com/store-head-gm
Procurement Officer,Jagdamba Steels,"Simara, Bara",4/13/2019,www.merojob.com/procurement-officer-82
Specialist - Core Product & Service,Ncell,"Kathmandu, Nepal",4/9/2019,www.merojob.com/specialist
Assistant Specialist - Core Product and Services,Ncell,"Anamnagar, Kathmandu, Central Development Region, Nepal",4/9/2019,www.merojob.com/assistant-specialist
Creative Web Designer,Verisk Nepal,"Kathmandu, Nepal",4/13/2019,www.merojob.com/creative-web-designer-22
Zonal Sales Manager,Smart Telecom,"Biratnagar, Nepal",4/25/2019,www.merojob.com/zonal-sales-manager-2
Counselor,Raffles Educare Associates,"Putalisadak, Kathmandu",4/12/2019,www.merojob.com/counselor-female-18
Receptionist (Female),Raffles Educare Associates,"Putalisadak, Kathmandu, Nepal",4/12/2019,www.merojob.com/receptionist-female-149
Sales Executive,Classic Outdoors,Kathmandu,4/11/2019,www.merojob.com/sales-executive-453
Project Manager,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/project-manager-286
Architect,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/architect-256
