Company,Product,Address,Deadline
Senior Django Developer,Prixa Technologies,"Satdobato, Lalitpur","March 15, 2019, 11:55 p.m."
Officer - Community Based Rehabilitation (CBR),Karuna Foundation Nepal,"Ilam, Nepal","March 13, 2019, 11:59 p.m."
Unity3D Game Developer,Paracosma Nepal,"TBI Plaza, Nagpokhari Marg","March 20, 2019, 11:55 p.m."
Japanese Language Instructor,Laseter Language Training Center (LLTC),"Gatthaghar, Bhaktapur, Nepal","March 23, 2019, 11:59 p.m."
Counsellor,Echoes Global Education,"Kamalpokhari, Kathmandu","March 15, 2019, 11:55 p.m."
Contract Manager,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Site Engineers,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Sub Engineers/ Supervisors,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal","March 22, 2019, 11:55 p.m."
Chiller & HVAC Engineer,Himal Refrigeration and Electrical Industries,"Sanepa, Lalitpur","March 22, 2019, 11:55 p.m."
Brand Manager,The Nepal Distilleries,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Smart Center Executive,Smart Telecom,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Marketing Officer,A Reputed Multinational Company,Kathmandu,"March 10, 2019, 5 p.m."
Marketing Supervisor/Marketing Representatives,Gunkari Saving and Credit Cooperative,"Pako, New Road","March 13, 2019, 11:55 p.m."
Marketing Executives,Kanchan Sky Digital Wireless TV,Pepsicola Kathmandu,"March 9, 2019, 11:55 p.m."
Sales Officer,RB Diamond Jewellers,"Pyukha, New Road, Kathmandu","March 13, 2019, 11:55 p.m."
Sales Executive Officer,Gdigital Media Solutions,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
Sales Representative,Asia Trade International Pvt Ltd,"Pokhara, Narayanghat","March 13, 2019, 11:55 p.m."
Area Sales Manager/ Assistant Manager,Chaudhary Group in partnership with JTI,kathmandu,"March 21, 2019, 11:55 p.m."
Sales Supervisor/ Executive Level,Chaudhary Group in partnership with JTI,Kathmandu/ Kathmandu West or Kathmandu East,"March 21, 2019, 11:55 p.m."
Food Technologist/Microbiologist,Shikhar Organization Limited,"Kharipati, Bhaktapur","March 10, 2019, 11:55 p.m."
Clinical Research Fellow,Tilganga Institute of Opthalmology,"Tilganga Institute of Ophthalmology, Kathmandu","March 16, 2019, 5 p.m."
Matron,Narayani Samudayik Hospital,"Hospital road,bharatpur-10  chitwan","March 9, 2019, 11:55 p.m."
Medical Officer,Narayani Samudayik Hospital,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Biomedical Engineer,Nepal Cancer Hospital and Research Center (NCHRC) Pvt. Ltd.,"Kathmandu, Nepal","March 15, 2019, 11:55 p.m."
Officer - Community Based Rehabilitation (CBR),Karuna Foundation Nepal,"Ilam, Nepal","March 13, 2019, 11:59 p.m."
Staff Nurse,Sunaulo Parivar Nepal (SPN),Chandrauta,"March 12, 2019, 5 p.m."
Demand Generation Coordinator,Sunaulo Parivar Nepal (SPN),"Bardaghat, Bardibas and Chuchhepati","March 12, 2019, 5 p.m."
