Id,Job,Company,Address,Deadline,URL
1,Operations Assistant,Javra Software,"Kathmandu, Nepal","April 16, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
2,Senior Quality Assurance Engineer,UBA Solutions,"Kathmandu, Nepal","April 9, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
3,Graphic Designer,KTM CTY,Kathmandu,"April 9, 2019, 11:55 p.m.",www.merojobs.com/operations-assistant-11/
4,PHP Developer,KTM CTY,Kathmandu,"April 9, 2019, 11:55 p.m.",www.merojobs.com/senior-quality-assurance-engineer-5/
5,Marketing Executive,Echoes Global Education,"City Center, Kamalpokhari, Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/graphic-designer-601/
6,Small - Scale Infrastructure Expert(Engineer),KECC,"Sunwal, Nawalparasi","April 25, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
7,Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
8,District Monitoring Engineers (DME),East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading","April 2, 2019, 11:55 p.m.",www.merojobs.com/small-scale-infrastructure-expertengineer/
9,Site Engineers,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading","April 2, 2019, 11:55 p.m.",www.merojobs.com/senior-test-automation-engineer-2/
10,Project Monitoring Engineer,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading","April 6, 2019, 11:55 p.m.",www.merojobs.com/district-monitoring-engineers-dme-15/
11,Online English Tutors,Bibo Global Opportunity,"Kathmandu, Nepal","April 2, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
12,School Vice-Principal,A Reputed School,"Swoyambhu Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
13,Counselor,Maple International Education,"Putalisadak, Kathmandu","April 10, 2019, 11:55 p.m.",www.merojobs.com/online-english-tutors/
14,Secondary Level Teachers,Nightingale International Secondary School,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/school-vice-principal/
15,Teaching Associate,BeeCreative,"Gyaneshwor, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/counselor-281/
16,Marketing Officer,JD Internet ventures,Kathmandu,"April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
17,Digital Marketer,JD Internet ventures,Kathmandu,"April 8, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
18,Social Media Manager,Freelancer Company,"2nd Floor, House No. 384,, Buth Marg, Dhungedhara Chowk,,...","April 13, 2019, 11:55 p.m.",www.merojobs.com/marketing-officer-820/
19,Client Service Manager,Social Media Promotion,"Lazimpat, next to Delegation of the European Union","April 3, 2019, 11:59 p.m.",www.merojobs.com/digital-marketer-2/
20,Promoters,Rojgari Services,Kathmandu / Bhaktapur / Lalitpur,"April 4, 2019, 11:55 p.m.",www.merojobs.com/social-media-manager-17/
21,Accountant,COTIVITI NEPAL,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
22,Chartered Accountant,Shikhar Organization Limited,"Kathmandu, Nepal","April 8, 2019, 10 p.m.",www.merojobs.com/google/login/?method=oauth2
23,Jr. Accountant,Felt and Yarn,"Khusibun, Kathmandu, Central Development Region, Nepal","April 12, 2019, 6:55 a.m.",www.merojobs.com/accountant-1334/
24,Account Officer,Vianet Communications,"Jawalakhel, Lalitpur","April 5, 2019, 11:55 p.m.",www.merojobs.com/chartered-accountant-41/
25,Accountant,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/jr-accountant-11/
26,Sales Engineer (Male),The Real PBX,"Kathmandu, Nepal","April 14, 2019, 11:59 p.m.",www.merojobs.com/facebook/login/
27,Industrial Coatings Officer,Asian Paints (Nepal),Kathmandu,"April 3, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
28,Sales Officer,RB Diamond Jewellers,"Pyukha, New Road, Kathmandu","April 2, 2019, 11:55 p.m.",www.merojobs.com/sales-engineer-38/
29,Sales Executive,Classic Outdoors,Kathmandu,"April 11, 2019, 11:55 p.m.",www.merojobs.com/industrial-coatings-officer/
30,Sales Executive,Hilltake Industries,Nepalgunj,"April 10, 2019, 10 p.m.",www.merojobs.com/sales-officer-401/
31,Engineering Manager,UBA Solutions,"Kathmandu, Nepal","April 15, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
32,Senior PHP Engineer,UBA Solutions,"Kathmandu, Nepal","April 4, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
33,Senior Software Developer in Test (SDET- Programmer with QA Mindset),UBA Solutions,"Kathmandu, Nepal","April 15, 2019, 11:55 p.m.",www.merojobs.com/engineering-manager-7/
34,Senior Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal","April 4, 2019, 11:55 p.m.",www.merojobs.com/senior-php-engineer-7/
35,Software Architect Engineer (Javascript),UBA Solutions,"Kathmandu, Nepal","April 15, 2019, 11:55 p.m.",www.merojobs.com/senior-software-developer-in-test-sdet-programmer-with-qa-mindset/
36,Staff Nurse,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
37,Radiographer,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
38,Medical Report Writer,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/staff-nurse-107/
39,Manager,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/radiographer-18/
40,Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,"April 13, 2019, 5 p.m.",www.merojobs.com/medical-report-writer-2/
41,Director - Finance,Nepal CRS Company,"Head Office, Tokha- Kathmandu","April 7, 2019, 5 p.m.",www.merojobs.com/facebook/login/
42,Programme Officer-Nutrition and Health,Action Against Hunger,Nawalparasi,"April 5, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
43,Technical Officer-Nutrition and Health,Action Against Hunger,Nawalparasi,"April 5, 2019, 5 p.m.",www.merojobs.com/director-finance-2/
44,Commercial Sales Director,Marie Stopes Products and Trading,based in Kathmandu with significant field travel,"April 7, 2019, 5 p.m.",www.merojobs.com/programme-officer-nutrition-and-health/
45,Senior Program Manager - CRG & CP,Save the Children,Kathmandu,"April 5, 2019, 5 p.m.",www.merojobs.com/technical-officer-nutrition-and-health-4/
46,Administrator,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
47,Intern,Classic Outdoors,Kathmandu,"April 11, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
48,Store Manager/ Cashier,Pioneer Trade Concern,"Kathmandu, Nepal","April 14, 2019, 11:55 p.m.",www.merojobs.com/administrator-29/
49,Operations Assistant,Javra Software,"Kathmandu, Nepal","April 16, 2019, 11:55 p.m.",www.merojobs.com/intern-42/
50,Chief Executive Officer (CEO),Golyan Group,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/store-manager-cashier-2/
51,Operation Manager,Times Remit,Kathmandu,"April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
52,Branch Manager,Deva Bikas Bank Limited,"Pokhara, Baneshwor, Mahendranagar, Tandi & Upcoming Branc...","April 2, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
53,Trainee Assistant,Siddhartha Bank,Inside and Outside Valley,"April 15, 2019, 11:55 p.m.",www.merojobs.com/operation-manager-82/
54,Finance Manager/ Finance Analyst,Shivam Plastic Industries,"Biratnagar, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/branch-manager-87/
55,Air Ticket Officer (Domestic and International),Trans Holidays Travel and Tours,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
56,Hotel Manager,Hotel Darwin,"Nayabazar Marg, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
57,Hotel Manager,Shaligram Hotel,Jawalakhel,"April 5, 2019, 11:55 p.m.",www.merojobs.com/air-ticket-officer-domestic-and-international-2/
58,Head Chef and Culinary Instructor,ROKPA Guest House,Pokhara Nepal,"April 10, 2019, 11:55 p.m.",www.merojobs.com/hotel-manager-10/
59,Assistant Manager,The Nana Hotels,Pokara/,"April 7, 2019, 11:55 p.m.",www.merojobs.com/hotel-manager-13/
60,Content Writer,Social Media Promotion,"Gairidhara, Kathmandu","April 3, 2019, 11:59 p.m.",www.merojobs.com/facebook/login/
61,Sr. Social Media Associate,daraz.com.np,Kathmandu,"April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
62,Senior Financial Content Writer,IMS Investment Management Services,"Kathmandu, Nepal","April 2, 2019, 11:55 p.m.",www.merojobs.com/content-writer-200/
63,Content Writer/Copywriter,ANSSoft Incorporation,"Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/sr-social-media-associate/
64,Receptionist/Cashier,Tesla Diagnostic Clinic,"Kathmandu, Nepal","April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
65,Receptionist,ZTE Corporation,"Kathmandu, Nepal","April 6, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
66,Front Desk Representative,Hotel Tibet Peace Inn,"Paknajol, Thamel","April 2, 2019, 11:55 p.m.",www.merojobs.com/receptionistcashier-5/
67,Executive Assistant,Disaster Hack,"Jhamsikhel, Kathmandu","April 3, 2019, 11:55 p.m.",www.merojobs.com/receptionist-1096/
68,CSR / Front Officer- Female,MOBEECO,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/operation-incharge-8/
69,Production Associate,Asian Paints (Nepal),Hetauda,"April 7, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
70,Computer Operator,Nobel Academy Secondary School,"Kathmandu, Nepal","April 2, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
71,इलेट्रिकल टेक्निसियन - केही,अप्पर साेलु हाइड्राे इलेक्ट्रीक कम्पनि लि.,"Kathmandu, Nepal","April 12, 2019, 5 p.m.",www.merojobs.com/production-associate/
72,Graphic Designer,JD Internet ventures,Kathmandu,"April 8, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
73,Graphic Designer,KTM CTY,Kathmandu,"April 9, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
74,Motion Graphic Designer,Social Media Promotion,"Lazimpat, next to Delegation of the European Union","April 3, 2019, 11:59 p.m.",www.merojobs.com/graphic-designer-600/
75,InDesign Artist,Makarios,"Naxal, Kathmandu","April 8, 2019, 2 p.m.",www.merojobs.com/graphic-designer-601/
76,Content Writer,Innovate Nepal Group,"Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/motion-graphic-designer-2/
77,Store Head (GM),Jagdamba Steels,"Simara, Bara","April 13, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
78,Procurement Officer,Jagdamba Steels,"Simara, Bara","April 13, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
79,Document and Logistic Officer,Bhaktapur NIST School,Bhaktapur,"April 5, 2019, 11:55 p.m.",www.merojobs.com/store-head-gm/
80,Procurement Officer,A  Reputed Construction Company,Basundhara / Hattigauda,"April 4, 2019, 11:55 p.m.",www.merojobs.com/procurement-officer-82/
81,Store Keeper,A Reputed Construction Company,Kathmandu,"April 4, 2019, 11:55 p.m.",www.merojobs.com/document-and-logistic-officer/
82,Education Counsellor,Boomerang International Educational Services,Chitwan,"April 11, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
