Job,Company,Address,Deadline,URL
Operations Assistant,Javra Software,"Kathmandu, Nepal",2019-04-16,www.merojobs.com/facebook/login/
Senior Quality Assurance Engineer,UBA Solutions,"Kathmandu, Nepal",2019-04-09,www.merojobs.com/google/login/?method=oauth2
Graphic Designer,KTM CTY,Kathmandu,2019-04-09,www.merojobs.com/operations-assistant-11/
PHP Developer,KTM CTY,Kathmandu,2019-04-09,www.merojobs.com/senior-quality-assurance-engineer-5/
Marketing Executive,Echoes Global Education,"City Center, Kamalpokhari, Kathmandu, Nepal",2019-04-07,www.merojobs.com/graphic-designer-601/
Small - Scale Infrastructure Expert(Engineer),KECC,"Sunwal, Nawalparasi",2019-04-25,www.merojobs.com/facebook/login/
Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/google/login/?method=oauth2
District Monitoring Engineers (DME),East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading",2019-04-02,www.merojobs.com/small-scale-infrastructure-expertengineer/
Site Engineers,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading",2019-04-02,www.merojobs.com/senior-test-automation-engineer-2/
Project Monitoring Engineer,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading",2019-04-06,www.merojobs.com/district-monitoring-engineers-dme-15/
Online English Tutors,Bibo Global Opportunity,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/facebook/login/
School Vice-Principal,A Reputed School,"Swoyambhu Kathmandu, Nepal",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Counselor,Maple International Education,"Putalisadak, Kathmandu",2019-04-10,www.merojobs.com/online-english-tutors/
Secondary Level Teachers,Nightingale International Secondary School,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/school-vice-principal/
Teaching Associate,BeeCreative,"Gyaneshwor, Kathmandu",2019-04-05,www.merojobs.com/counselor-281/
Marketing Officer,JD Internet ventures,Kathmandu,2019-04-08,www.merojobs.com/facebook/login/
Digital Marketer,JD Internet ventures,Kathmandu,2019-04-08,www.merojobs.com/google/login/?method=oauth2
Social Media Manager,Freelancer Company,"2nd Floor, House No. 384,, Buth Marg, Dhungedhara Chowk,,...",2019-04-13,www.merojobs.com/marketing-officer-820/
Client Service Manager,Social Media Promotion,"Lazimpat, next to Delegation of the European Union",2019-04-03,www.merojobs.com/digital-marketer-2/
Promoters,Rojgari Services,Kathmandu / Bhaktapur / Lalitpur,2019-04-04,www.merojobs.com/social-media-manager-17/
Accountant,COTIVITI NEPAL,"Kathmandu, Nepal",2019-04-03,www.merojobs.com/facebook/login/
Chartered Accountant,Shikhar Organization Limited,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/google/login/?method=oauth2
Jr. Accountant,Felt and Yarn,"Khusibun, Kathmandu, Central Development Region, Nepal",2019-04-12,www.merojobs.com/accountant-1334/
Account Officer,Vianet Communications,"Jawalakhel, Lalitpur",2019-04-05,www.merojobs.com/chartered-accountant-41/
Accountant,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/jr-accountant-11/
Sales Engineer (Male),The Real PBX,"Kathmandu, Nepal",2019-04-14,www.merojobs.com/facebook/login/
Industrial Coatings Officer,Asian Paints (Nepal),Kathmandu,2019-04-03,www.merojobs.com/google/login/?method=oauth2
Sales Officer,RB Diamond Jewellers,"Pyukha, New Road, Kathmandu",2019-04-02,www.merojobs.com/sales-engineer-38/
Sales Executive,Classic Outdoors,Kathmandu,2019-04-11,www.merojobs.com/industrial-coatings-officer/
Sales Executive,Hilltake Industries,Nepalgunj,2019-04-10,www.merojobs.com/sales-officer-401/
Engineering Manager,UBA Solutions,"Kathmandu, Nepal",2019-04-15,www.merojobs.com/facebook/login/
Senior PHP Engineer,UBA Solutions,"Kathmandu, Nepal",2019-04-04,www.merojobs.com/google/login/?method=oauth2
Senior Software Developer in Test (SDET- Programmer with QA Mindset),UBA Solutions,"Kathmandu, Nepal",2019-04-15,www.merojobs.com/engineering-manager-7/
Senior Javascript Engineer (Preferred ReactJS),UBA Solutions,"Kathmandu, Nepal",2019-04-04,www.merojobs.com/senior-php-engineer-7/
Software Architect Engineer (Javascript),UBA Solutions,"Kathmandu, Nepal",2019-04-15,www.merojobs.com/senior-software-developer-in-test-sdet-programmer-with-qa-mindset/
Staff Nurse,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/facebook/login/
Radiographer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/google/login/?method=oauth2
Medical Report Writer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/staff-nurse-107/
Manager,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,www.merojobs.com/radiographer-18/
Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,2019-04-13,www.merojobs.com/medical-report-writer-2/
Director - Finance,Nepal CRS Company,"Head Office, Tokha- Kathmandu",2019-04-07,www.merojobs.com/facebook/login/
Programme Officer-Nutrition and Health,Action Against Hunger,Nawalparasi,2019-04-05,www.merojobs.com/google/login/?method=oauth2
Technical Officer-Nutrition and Health,Action Against Hunger,Nawalparasi,2019-04-05,www.merojobs.com/director-finance-2/
Commercial Sales Director,Marie Stopes Products and Trading,based in Kathmandu with significant field travel,2019-04-07,www.merojobs.com/programme-officer-nutrition-and-health/
Senior Program Manager - CRG & CP,Save the Children,Kathmandu,2019-04-05,www.merojobs.com/technical-officer-nutrition-and-health-4/
