Job_Id,Job,Company,Address,Deadline,URL,,,,,,,,
1,Senior JavaScript Developer (Preferred Angular),Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal",2019-04-12,https://www.merojob.com/front-end-javascript-developer-2,,,,,,,,
2,Digital Marketer,JD Internet ventures,Kathmandu,2019-04-08,https://www.merojob.com/digital-marketer-2,,,,,,,,
3,Software Engineer - Angular,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",2019-04-13,https://www.merojob.com/software-engineer-73,,,,,,,,
4,Software Engineer - Ruby on Rails,Bajra Technologies,"Mahakavi Marg, Dilli Bazaar, Kathmandu, Nepal",2019-04-12,https://www.merojob.com/software-engineer-74,,,,,,,,
5,Visual Basic Programmer,IT Nepal,"Kathmandu, Nepal",2019-04-15,https://www.merojob.com/visual-basic-programmer-2,,,,,,,,
6,Small - Scale Infrastructure Expert(Engineer),KECC,"Sunwal, Nawalparasi",2019-04-25,https://www.merojob.com/small-scale-infrastructure-expertengineer,,,,,,,,
7,Senior Test Automation Engineer,COTIVITI NEPAL,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/senior-test-automation-engineer-2,,,,,,,,
8,Civil Engineer,RM Group,Rasuwa,2019-04-14,https://www.merojob.com/civil-engineer-354,,,,,,,,
9,Civil Engineer / Interior Designer,Hilltake Resort,"Sanga, Bhaktapur",2019-04-12,https://www.merojob.com/civil-eng-interior-designer,,,,,,,,
10,Mechanical Overseer,Hulas Autocraft,Kathmandu,2019-04-13,https://www.merojob.com/mechanical-overseer-23,,,,,,,,
11,Counselor,Maple International Education,"Putalisadak, Kathmandu",2019-04-10,https://www.merojob.com/counselor-281,,,,,,,,
12,Secondary Level Teachers,Nightingale International Secondary School,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/secondary-level-teachers-30,,,,,,,,
13,Preschool Teacher (Female),Ujjwal Tara School,"Pepsicola, Kathmandu, Nepal",2019-04-06,https://www.merojob.com/preschool-teacher-female-6,,,,,,,,
14,Primary Level Teachers,Nightingale International Secondary School,Chitwan,2019-04-10,https://www.merojob.com/primary-level-teachers-29,,,,,,,,
15,Counselor,Raffles Educare Associates,"Putalisadak, Kathmandu",2019-04-12,https://www.merojob.com/counselor-female-18,,,,,,,,
16,Marketing Officer,JD Internet ventures,Kathmandu,2019-04-08,https://www.merojob.com/marketing-officer-820,,,,,,,,
17,Digital Marketer,JD Internet ventures,Kathmandu,2019-04-08,https://www.merojob.com/digital-marketer-2,,,,,,,,
18,Social Media Manager,Freelancer Company,"2nd Floor, House No. 384,, Buth Marg, Dhungedhara Chowk,,...",2019-04-13,https://www.merojob.com/social-media-manager-17,,,,,,,,
19,Marketing Representative,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/marketing-representative-207,,,,,,,,
20,Chartered Accountant,Shikhar Organization Limited,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/chartered-accountant-41,,,,,,,,
21,Jr. Accountant,Felt and Yarn,"Khusibun, Kathmandu, Central Development Region, Nepal",2019-04-12,https://www.merojob.com/jr-accountant-11,,,,,,,,
22,Accountant,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/accountant-1345,,,,,,,,
23,Executive – Accounts,Flash Freight Logistics,"Based in HQ, Pulchowk Lalitpur",2019-04-06,https://www.merojob.com/sr-executive-accounts-3,,,,,,,,
24,Sr. Executive – Accounts,Flash Freight Logistics,"Based in HQ, Pulchowk Lalitpur",2019-04-06,https://www.merojob.com/sr-executive-accounts-4,,,,,,,,
25,Sales Engineer (Male),The Real PBX,"Kathmandu, Nepal",2019-04-14,https://www.merojob.com/sales-engineer-38,,,,,,,,
26,Sales Executive,Classic Outdoors,Kathmandu,2019-04-11,https://www.merojob.com/sales-executive-453,,,,,,,,
27,Sales Executive,Hilltake Industries,Nepalgunj,2019-04-10,https://www.merojob.com/sales-executive-454,,,,,,,,
28,Communications & Administration Officer,Action For Nepal,Birgunj,2019-04-06,https://www.merojob.com/communications-administration-officer,,,,,,,,
29,Sales Assistant,Asian Paints (Nepal),Butwal,2019-04-07,https://www.merojob.com/sales-assistant-49,,,,,,,,
30,PHP Developer,KTM CTY,Kathmandu,2019-04-09,https://www.merojob.com/php-developer-225,,,,,,,,
31,"Team Lead (Java, Python, Javascript, NodeJs)",GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",2019-04-09,https://www.merojob.com/team-lead-java-python-javascript-nodejs,,,,,,,,
32,Senior Full-stack Software Engineer,GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",2019-04-09,https://www.merojob.com/senior-full-stack-software-engineer-3,,,,,,,,
33,Senior Web & Mobile Developer (Front-end and Back-end),GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu",2019-04-09,https://www.merojob.com/senior-web-mobile-developer-front-end-and-back-end,,,,,,,,
34,DevOps Engineer (System Team),COTIVITI NEPAL,"Kathmandu,Nepal",2019-04-12,https://www.merojob.com/devops-engineer-system-team-3,,,,,,,,
35,Staff Nurse,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/staff-nurse-107,,,,,,,,
36,Radiographer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/radiographer-18,,,,,,,,
37,Medical Report Writer,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/medical-report-writer-2,,,,,,,,
38,Manager,Tesla Diagnostic Clinic,"Kathmandu, Nepal",2019-04-08,https://www.merojob.com/manager-235,,,,,,,,
39,Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,2019-04-13,https://www.merojob.com/assistant-anesthesia,,,,,,,,
